1,77,09-03-2020,6:00 PM,Maharashtra,2,0,0,0,2
2,92,10-03-2020,6:00 PM,Maharashtra,5,0,0,0,5
3,98,11-03-2020,6:00 PM,Maharashtra,2,0,0,0,2
4,121,12-03-2020,6:00 PM,Maharashtra,11,0,0,0,11
5,134,13-03-2020,6:00 PM,Maharashtra,14,0,0,0,14
6,147,14-03-2020,6:00 PM,Maharashtra,14,0,0,0,14
7,154,15-03-2020,6:00 PM,Maharashtra,32,0,0,0,32
8,168,16-03-2020,6:00 PM,Maharashtra,32,0,0,0,32
9,183,17-03-2020,6:00 PM,Maharashtra,36,3,0,1,39
10,198,18-03-2020,6:00 PM,Maharashtra,39,3,0,1,42
11,216,19-03-2020,6:00 PM,Maharashtra,44,3,0,1,47
12,236,20-03-2020,6:00 PM,Maharashtra,49,3,0,1,52
13,258,21-03-2020,6:00 PM,Maharashtra,60,3,0,1,63
14,281,22-03-2020,6:00 PM,Maharashtra,64,3,0,2,67
15,304,23-03-2020,6:00 PM,Maharashtra,71,3,0,2,74
16,327,24-03-2020,6:00 PM,Maharashtra,86,3,0,2,89
17,351,25-03-2020,6:00 PM,Maharashtra,125,3,1,3,128
18,381,26-03-2020,6:00 PM,Maharashtra,121,3,1,3,124
19,408,27-03-2020,10:00 AM,Maharashtra,127,3,15,4,130
20,435,28-03-2020,6:00 PM,Maharashtra,177,3,25,5,180
21,462,29-03-2020,7:30 PM,Maharashtra,-,-,25,6,186
22,489,30-03-2020,9:30 PM,Maharashtra,-,-,25,8,198
23,517,31-03-2020,8:30 PM,Maharashtra,-,-,39,9,216
24,547,01-04-2020,7:30 PM,Maharashtra,-,-,39,9,302
25,576,02-04-2020,6:00 PM,Maharashtra,-,-,42,13,335
26,606,03-04-2020,6:00 PM,Maharashtra,-,-,42,16,335
27,637,04-04-2020,6:00 PM,Maharashtra,-,-,42,24,490
28,667,05-04-2020,6:00 PM,Maharashtra,-,-,42,24,490
29,697,06-04-2020,6:00 PM,Maharashtra,-,-,56,45,748
30,727,07-04-2020,6:00 PM,Maharashtra,-,-,56,48,868
31,758,08-04-2020,5:00 PM,Maharashtra,-,-,79,64,1018
32,789,09-04-2020,5:00 PM,Maharashtra,-,-,117,72,1135
33,820,10-04-2020,5:00 PM,Maharashtra,-,-,125,97,1364
34,851,11-04-2020,5:00 PM,Maharashtra,-,-,188,110,1574
35,882,12-04-2020,5:00 PM,Maharashtra,-,-,208,127,1761
36,913,13-04-2020,5:00 PM,Maharashtra,-,-,217,149,1985
37,945,14-04-2020,5:00 PM,Maharashtra,-,-,229,160,2337
38,978,15-04-2020,5:00 PM,Maharashtra,-,-,259,178,2687
39,1011,16-04-2020,5:00 PM,Maharashtra,-,-,295,187,2919
40,1044,17-04-2020,5:00 PM,Maharashtra,-,-,300,194,3205
41,1077,18-04-2020,5:00 PM,Maharashtra,-,-,331,201,3323
42,1110,19-04-2020,5:00 PM,Maharashtra,-,-,365,211,3651
43,1143,20-04-2020,5:00 PM,Maharashtra,-,-,507,223,4203
44,1176,21-04-2020,5:00 PM,Maharashtra,-,-,572,232,4669
45,1209,22-04-2020,5:00 PM,Maharashtra,-,-,722,251,5221
46,1241,23-04-2020,5:00 PM,Maharashtra,-,-,789,269,5652
47,1273,24-04-2020,5:00 PM,Maharashtra,-,-,840,283,6430
48,1305,25-04-2020,5:00 PM,Maharashtra,-,-,957,301,6817
49,1337,26-04-2020,5:00 PM,Maharashtra,-,-,1076,323,7628
50,1369,27-04-2020,5:00 PM,Maharashtra,-,-,1188,342,8068
51,1401,28-04-2020,5:00 PM,Maharashtra,-,-,1282,369,8590
52,1433,29-04-2020,5:00 PM,Maharashtra,-,-,1388,400,9318
53,1465,30-04-2020,5:00 PM,Maharashtra,-,-,1593,432,9915
54,1497,01-05-2020,5:00 PM,Maharashtra,-,-,1773,459,10498
55,1529,02-05-2020,5:00 PM,Maharashtra,-,-,1879,485,11506
56,1561,03-05-2020,5:00 PM,Maharashtra,-,-,2000,521,12296
57,1593,04-05-2020,5:00 PM,Maharashtra,-,-,2115,548,12974
58,1625,05-05-2020,5:00 PM,Maharashtra,-,-,2465,583,14541
59,1658,06-05-2020,8:00 AM,Maharashtra,-,-,2819,617,15525
60,1691,07-05-2020,8:00 AM,Maharashtra,-,-,3094,651,16758
61,1724,08-05-2020,8:00 AM,Maharashtra,-,-,3301,694,17974
62,1757,09-05-2020,8:00 AM,Maharashtra,-,-,3470,731,19063
63,1790,10-05-2020,8:00 AM,Maharashtra,-,-,3800,779,20228
64,1823,11-05-2020,8:00 AM,Maharashtra,-,-,4199,832,22171
65,1856,12-05-2020,8:00 AM,Maharashtra,-,-,4786,868,23401
66,1889,13-05-2020,8:00 AM,Maharashtra,-,-,5125,921,24427
67,1922,14-05-2020,8:00 AM,Maharashtra,-,-,5547,975,25922
68,1955,15-05-2020,8:00 AM,Maharashtra,-,-,6059,1019,27524
69,1988,16-05-2020,8:00 AM,Maharashtra,-,-,6564,1068,29100
70,2021,17-05-2020,8:00 AM,Maharashtra,-,-,7088,1135,30706
71,2054,18-05-2020,8:00 AM,Maharashtra,-,-,7688,1198,33053
72,2087,19-05-2020,8:00 AM,Maharashtra,-,-,8437,1249,35058
73,2120,20-05-2020,8:00 AM,Maharashtra,-,-,9639,1325,37136
74,2154,21-05-2020,8:00 AM,Maharashtra,-,-,10318,1390,39297
75,2188,22-05-2020,8:00 AM,Maharashtra,-,-,11726,1454,41642
76,2222,23-05-2020,8:00 AM,Maharashtra,-,-,12583,1517,44582
77,2256,24-05-2020,8:00 AM,Maharashtra,-,-,13404,1577,47190
78,2291,25-05-2020,8:00 AM,Maharashtra,-,-,14600,1635,50231
79,2326,26-05-2020,8:00 AM,Maharashtra,-,-,15786,1695,52667
80,2362,27-05-2020,8:00 AM,Maharashtra,-,-,16954,1792,54758
81,2398,28-05-2020,8:00 AM,Maharashtra,-,-,17918,1897,56948
82,2434,29-05-2020,8:00 AM,Maharashtra,-,-,18616,1982,59546
83,2470,30-05-2020,8:00 AM,Maharashtra,-,-,26997,2098,62228
84,2506,31-05-2020,8:00 AM,Maharashtra,-,-,28081,2197,65168
85,2542,01-06-2020,8:00 AM,Maharashtra,-,-,29329,2286,67655
86,2578,02-06-2020,8:00 AM,Maharashtra,-,-,30108,2362,70013
87,2614,03-06-2020,8:00 AM,Maharashtra,-,-,31333,2465,72300
88,2650,04-06-2020,8:00 AM,Maharashtra,-,-,32329,2587,74860
89,2686,05-06-2020,8:00 AM,Maharashtra,-,-,33681,2710,77793
90,2722,06-06-2020,8:00 AM,Maharashtra,-,-,35156,2849,80229
91,2758,07-06-2020,8:00 AM,Maharashtra,-,-,37390,2969,82968
92,2794,08-06-2020,8:00 AM,Maharashtra,-,-,39314,3060,85975
93,2830,09-06-2020,8:00 AM,Maharashtra,-,-,40975,3169,88528
94,2866,10-06-2020,8:00 AM,Maharashtra,-,-,42638,3289,90787
95,2903,11-06-2020,8:00 AM,Maharashtra,-,-,44517,3438,94041
96,2939,12-06-2020,8:00 AM,Maharashtra,-,-,46078,3590,97648
97,2975,13-06-2020,8:00 AM,Maharashtra,-,-,47796,3717,101141
98,3011,14-06-2020,8:00 AM,Maharashtra,-,-,49346,3830,104568
99,3047,15-06-2020,8:00 AM,Maharashtra,-,-,50978,3950,107958
100,3083,16-06-2020,8:00 AM,Maharashtra,-,-,56049,4128,110744
101,3119,17-06-2020,8:00 AM,Maharashtra,-,-,57851,5537,113445
102,3155,18-06-2020,8:00 AM,Maharashtra,-,-,59166,5651,116752
103,3191,19-06-2020,8:00 AM,Maharashtra,-,-,60838,5751,120504
104,3227,20-06-2020,8:00 AM,Maharashtra,-,-,62773,5893,124331
105,3263,21-06-2020,8:00 AM,Maharashtra,-,-,64153,5984,128205
106,3299,22-06-2020,8:00 AM,Maharashtra,-,-,65744,6170,132075
107,3335,23-06-2020,8:00 AM,Maharashtra,-,-,67706,6283,135796
108,3371,24-06-2020,8:00 AM,Maharashtra,-,-,69631,6531,139010
109,3407,25-06-2020,8:00 AM,Maharashtra,-,-,73792,6739,142900
110,3443,26-06-2020,8:00 AM,Maharashtra,-,-,77453,6931,147741
111,3479,27-06-2020,8:00 AM,Maharashtra,-,-,79815,7106,152765
112,3515,28-06-2020,8:00 AM,Maharashtra,-,-,84245,7273,159133
113,3551,29-06-2020,8:00 AM,Maharashtra,-,-,86575,7429,164626
114,3587,30-06-2020,8:00 AM,Maharashtra,-,-,88960,7610,169883
115,3623,01-07-2020,8:00 AM,Maharashtra,-,-,90911,7855,174761
116,3659,02-07-2020,8:00 AM,Maharashtra,-,-,93154,8053,180298
117,3695,03-07-2020,8:00 AM,Maharashtra,-,-,101172,8178,186626
118,3731,04-07-2020,8:00 AM,Maharashtra,-,-,104687,8376,192990
119,3767,05-07-2020,8:00 AM,Maharashtra,-,-,108082,8671,200064
120,3803,06-07-2020,8:00 AM,Maharashtra,-,-,111740,8822,206619
121,3839,07-07-2020,8:00 AM,Maharashtra,-,-,115262,9026,211987
122,3875,08-07-2020,8:00 AM,Maharashtra,-,-,118558,9250,217121
123,3911,09-07-2020,8:00 AM,Maharashtra,-,-,123192,9448,223724
124,3947,10-07-2020,8:00 AM,Maharashtra,-,-,127259,9667,230599
125,3983,11-07-2020,8:00 AM,Maharashtra,-,-,132625,9893,238461
126,4019,12-07-2020,8:00 AM,Maharashtra,-,-,136985,10116,246600
127,4055,13-07-2020,8:00 AM,Maharashtra,-,-,140325,10289,254427
128,4091,14-07-2020,8:00 AM,Maharashtra,-,-,144507,10482,260924
129,4127,15-07-2020,8:00 AM,Maharashtra,-,-,149007,10695,267665
130,4163,16-07-2020,8:00 AM,Maharashtra,-,-,152613,10928,275640
131,4199,17-07-2020,8:00 AM,Maharashtra,-,-,158140,11194,284281
132,4235,18-07-2020,8:00 AM,Maharashtra,-,-,160357,11452,292589
133,4271,19-07-2020,8:00 AM,Maharashtra,-,-,165663,11596,300937
134,4306,20-07-2020,8:00 AM,Maharashtra,-,-,169569,11854,310455
135,4341,21-07-2020,8:00 AM,Maharashtra,-,-,175029,12030,318695
136,4376,22-07-2020,8:00 AM,Maharashtra,-,-,182217,12276,327031
137,4411,23-07-2020,8:00 AM,Maharashtra,-,-,187769,12556,337607
138,4446,24-07-2020,8:00 AM,Maharashtra,-,-,194253,12854,347502
139,4481,25-07-2020,8:00 AM,Maharashtra,-,-,199967,13132,357117
140,4516,26-07-2020,8:00 AM,Maharashtra,-,-,207194,13389,366368
141,4551,27-07-2020,8:00 AM,Maharashtra,-,-,213238,13656,375799
142,4586,28-07-2020,8:00 AM,Maharashtra,-,-,221944,13883,383723
143,4621,29-07-2020,8:00 AM,Maharashtra,-,-,232277,14165,391440
144,4656,30-07-2020,8:00 AM,Maharashtra,-,-,239755,14463,400651
145,4691,31-07-2020,8:00 AM,Maharashtra,-,-,248615,14729,411798
146,4726,01-08-2020,8:00 AM,Maharashtra,-,-,256158,14994,422118
147,4761,02-08-2020,8:00 AM,Maharashtra,-,-,266883,15316,431719
148,4796,03-08-2020,8:00 AM,Maharashtra,-,-,276809,15576,441228
149,4831,04-08-2020,8:00 AM,Maharashtra,-,-,287030,15842,450196
150,4866,05-08-2020,8:00 AM,Maharashtra,-,-,299356,16142,457956
151,4901,06-08-2020,8:00 AM,Maharashtra,-,-,305521,16476,468265
152,4936,07-08-2020,8:00 AM,Maharashtra,-,-,316375,16792,479779
153,4971,08-08-2020,8:00 AM,Maharashtra,-,-,327281,17092,490262
154,5006,09-08-2020,8:00 AM,Maharashtra,-,-,338362,17367,503084
155,5041,10-08-2020,8:00 AM,Maharashtra,-,-,351710,17757,515332
156,5076,11-08-2020,8:00 AM,Maharashtra,-,-,358421,18050,524513
157,5111,12-08-2020,8:00 AM,Maharashtra,-,-,368435,18306,535601
158,5146,13-08-2020,8:00 AM,Maharashtra,-,-,381843,18650,548313
159,5181,14-08-2020,8:00 AM,Maharashtra,-,-,390958,19063,560126
160,5216,15-08-2020,8:00 AM,Maharashtra,-,-,401442,19427,572734
161,5251,16-08-2020,8:00 AM,Maharashtra,-,-,408286,19749,584754
162,5286,17-08-2020,8:00 AM,Maharashtra,-,-,417123,20037,595865
163,5321,18-08-2020,8:00 AM,Maharashtra,-,-,428514,20265,604358
164,5356,19-08-2020,8:00 AM,Maharashtra,-,-,437870,20687,615477
165,5391,20-08-2020,8:00 AM,Maharashtra,-,-,446881,21033,628642
166,5426,21-08-2020,8:00 AM,Maharashtra,-,-,459124,21359,643289
167,5461,22-08-2020,8:00 AM,Maharashtra,-,-,470873,21698,657450
168,5496,23-08-2020,8:00 AM,Maharashtra,-,-,480114,21995,671942
169,5531,24-08-2020,8:00 AM,Maharashtra,-,-,488271,22253,682383
170,5566,25-08-2020,8:00 AM,Maharashtra,-,-,502490,22465,693398
171,5601,26-08-2020,8:00 AM,Maharashtra,-,-,514790,22794,703823
172,5636,27-08-2020,8:00 AM,Maharashtra,-,-,522427,23089,718711
173,5671,28-08-2020,8:00 AM,Maharashtra,-,-,531563,23444,733568
174,5706,29-08-2020,8:00 AM,Maharashtra,-,-,543170,23775,747995
175,5741,30-08-2020,8:00 AM,Maharashtra,-,-,554711,24103,764281
176,5776,31-08-2020,8:00 AM,Maharashtra,-,-,562401,24399,780689
177,5811,01-09-2020,8:00 AM,Maharashtra,-,-,573559,24583,792541
