1,37,03-03-2020,6:00 PM,Rajasthan,0,1,0,0,1
2,45,04-03-2020,6:00 PM,Rajasthan,1,14,0,0,15
3,49,05-03-2020,6:00 PM,Rajasthan,1,14,0,0,15
4,55,06-03-2020,6:00 PM,Rajasthan,1,14,0,0,15
5,65,07-03-2020,6:00 PM,Rajasthan,1,14,0,0,15
6,69,08-03-2020,6:00 PM,Rajasthan,1,14,0,0,15
7,79,09-03-2020,6:00 PM,Rajasthan,1,14,0,0,15
8,94,10-03-2020,6:00 PM,Rajasthan,1,14,0,0,15
9,102,11-03-2020,6:00 PM,Rajasthan,1,2,0,0,3
10,113,12-03-2020,6:00 PM,Rajasthan,1,2,0,0,3
11,126,13-03-2020,6:00 PM,Rajasthan,1,2,0,0,3
12,139,14-03-2020,6:00 PM,Rajasthan,1,2,1,0,3
13,156,15-03-2020,6:00 PM,Rajasthan,2,2,3,0,4
14,171,16-03-2020,6:00 PM,Rajasthan,2,2,3,0,4
15,186,17-03-2020,6:00 PM,Rajasthan,2,2,3,0,4
16,202,18-03-2020,6:00 PM,Rajasthan,2,2,3,0,4
17,220,19-03-2020,6:00 PM,Rajasthan,5,2,3,0,7
18,240,20-03-2020,6:00 PM,Rajasthan,15,2,3,0,17
19,262,21-03-2020,6:00 PM,Rajasthan,15,2,3,0,17
20,285,22-03-2020,6:00 PM,Rajasthan,22,2,3,0,24
21,308,23-03-2020,6:00 PM,Rajasthan,26,2,3,0,28
22,332,24-03-2020,6:00 PM,Rajasthan,30,2,3,0,32
23,357,25-03-2020,6:00 PM,Rajasthan,34,2,3,0,36
24,387,26-03-2020,6:00 PM,Rajasthan,39,2,3,0,41
25,414,27-03-2020,10:00 AM,Rajasthan,39,2,3,0,41
26,441,28-03-2020,6:00 PM,Rajasthan,52,2,3,0,54
27,468,29-03-2020,7:30 PM,Rajasthan,-,-,3,0,55
28,495,30-03-2020,9:30 PM,Rajasthan,-,-,3,0,59
29,523,31-03-2020,8:30 PM,Rajasthan,-,-,3,0,74
30,553,01-04-2020,7:30 PM,Rajasthan,-,-,3,0,93
31,582,02-04-2020,6:00 PM,Rajasthan,-,-,3,0,108
32,612,03-04-2020,6:00 PM,Rajasthan,-,-,3,0,167
33,643,04-04-2020,6:00 PM,Rajasthan,-,-,21,0,200
34,673,05-04-2020,6:00 PM,Rajasthan,-,-,21,0,200
35,703,06-04-2020,6:00 PM,Rajasthan,-,-,21,0,274
36,733,07-04-2020,6:00 PM,Rajasthan,-,-,21,3,288
37,764,08-04-2020,5:00 PM,Rajasthan,-,-,21,3,328
38,795,09-04-2020,5:00 PM,Rajasthan,-,-,21,3,383
39,826,10-04-2020,5:00 PM,Rajasthan,-,-,21,3,463
40,857,11-04-2020,5:00 PM,Rajasthan,-,-,21,3,553
41,888,12-04-2020,5:00 PM,Rajasthan,-,-,21,3,700
42,920,13-04-2020,5:00 PM,Rajasthan,-,-,21,3,812
43,953,14-04-2020,5:00 PM,Rajasthan,-,-,133,3,879
44,986,15-04-2020,5:00 PM,Rajasthan,-,-,147,3,1005
45,1019,16-04-2020,5:00 PM,Rajasthan,-,-,147,3,1023
46,1052,17-04-2020,5:00 PM,Rajasthan,-,-,164,11,1131
47,1085,18-04-2020,5:00 PM,Rajasthan,-,-,183,11,1229
48,1118,19-04-2020,5:00 PM,Rajasthan,-,-,183,11,1351
49,1151,20-04-2020,5:00 PM,Rajasthan,-,-,183,14,1478
50,1184,21-04-2020,5:00 PM,Rajasthan,-,-,205,25,1576
51,1216,22-04-2020,5:00 PM,Rajasthan,-,-,230,25,1801
52,1248,23-04-2020,5:00 PM,Rajasthan,-,-,230,27,1890
53,1280,24-04-2020,5:00 PM,Rajasthan,-,-,230,27,1964
54,1312,25-04-2020,5:00 PM,Rajasthan,-,-,230,27,2034
55,1344,26-04-2020,5:00 PM,Rajasthan,-,-,493,33,2083
56,1376,27-04-2020,5:00 PM,Rajasthan,-,-,518,41,2185
57,1408,28-04-2020,5:00 PM,Rajasthan,-,-,669,46,2262
58,1440,29-04-2020,5:00 PM,Rajasthan,-,-,768,51,2364
59,1472,30-04-2020,5:00 PM,Rajasthan,-,-,768,51,2438
60,1504,01-05-2020,5:00 PM,Rajasthan,-,-,836,58,2584
61,1536,02-05-2020,5:00 PM,Rajasthan,-,-,1116,62,2666
62,1568,03-05-2020,5:00 PM,Rajasthan,-,-,1121,65,2772
63,1600,04-05-2020,5:00 PM,Rajasthan,-,-,1356,71,2886
64,1632,05-05-2020,5:00 PM,Rajasthan,-,-,1394,77,3061
65,1665,06-05-2020,8:00 AM,Rajasthan,-,-,1525,89,3158
66,1698,07-05-2020,8:00 AM,Rajasthan,-,-,1596,92,3317
67,1731,08-05-2020,8:00 AM,Rajasthan,-,-,1596,97,3427
68,1764,09-05-2020,8:00 AM,Rajasthan,-,-,1916,101,3579
69,1797,10-05-2020,8:00 AM,Rajasthan,-,-,2026,106,3708
70,1830,11-05-2020,8:00 AM,Rajasthan,-,-,2176,107,3814
71,1863,12-05-2020,8:00 AM,Rajasthan,-,-,2264,113,3988
72,1896,13-05-2020,8:00 AM,Rajasthan,-,-,2378,117,4126
73,1929,14-05-2020,8:00 AM,Rajasthan,-,-,2459,121,4328
74,1962,15-05-2020,8:00 AM,Rajasthan,-,-,2580,125,4534
75,1995,16-05-2020,8:00 AM,Rajasthan,-,-,2677,125,4727
76,2028,17-05-2020,8:00 AM,Rajasthan,-,-,2839,126,4960
77,2061,18-05-2020,8:00 AM,Rajasthan,-,-,2992,131,5202
78,2094,19-05-2020,8:00 AM,Rajasthan,-,-,3218,138,5507
79,2127,20-05-2020,8:00 AM,Rajasthan,-,-,3337,143,5845
80,2161,21-05-2020,8:00 AM,Rajasthan,-,-,3404,147,6015
81,2195,22-05-2020,8:00 AM,Rajasthan,-,-,3485,151,6227
82,2229,23-05-2020,8:00 AM,Rajasthan,-,-,3680,153,6494
83,2263,24-05-2020,8:00 AM,Rajasthan,-,-,3786,160,6742
84,2298,25-05-2020,8:00 AM,Rajasthan,-,-,3848,163,7028
85,2334,26-05-2020,8:00 AM,Rajasthan,-,-,3951,167,7300
86,2370,27-05-2020,8:00 AM,Rajasthan,-,-,4171,170,7536
87,2406,28-05-2020,8:00 AM,Rajasthan,-,-,4457,173,7703
88,2442,29-05-2020,8:00 AM,Rajasthan,-,-,4817,180,8067
89,2478,30-05-2020,8:00 AM,Rajasthan,-,-,5244,184,8365
90,2514,31-05-2020,8:00 AM,Rajasthan,-,-,5739,193,8617
91,2550,01-06-2020,8:00 AM,Rajasthan,-,-,5927,194,8831
92,2586,02-06-2020,8:00 AM,Rajasthan,-,-,6040,198,8980
93,2622,03-06-2020,8:00 AM,Rajasthan,-,-,6435,203,9373
94,2658,04-06-2020,8:00 AM,Rajasthan,-,-,6744,209,9652
95,2694,05-06-2020,8:00 AM,Rajasthan,-,-,7104,213,9862
96,2730,06-06-2020,8:00 AM,Rajasthan,-,-,7359,218,10084
97,2766,07-06-2020,8:00 AM,Rajasthan,-,-,7501,231,10331
98,2802,08-06-2020,8:00 AM,Rajasthan,-,-,7641,240,10599
99,2838,09-06-2020,8:00 AM,Rajasthan,-,-,8004,246,10763
100,2874,10-06-2020,8:00 AM,Rajasthan,-,-,8328,255,11245
101,2911,11-06-2020,8:00 AM,Rajasthan,-,-,8569,259,11600
102,2947,12-06-2020,8:00 AM,Rajasthan,-,-,8775,265,11838
103,2983,13-06-2020,8:00 AM,Rajasthan,-,-,8898,272,12068
104,3019,14-06-2020,8:00 AM,Rajasthan,-,-,9337,282,12401
105,3055,15-06-2020,8:00 AM,Rajasthan,-,-,9566,292,12694
106,3091,16-06-2020,8:00 AM,Rajasthan,-,-,9785,301,12981
107,3127,17-06-2020,8:00 AM,Rajasthan,-,-,9849,308,13216
108,3163,18-06-2020,8:00 AM,Rajasthan,-,-,10467,313,13542
109,3199,19-06-2020,8:00 AM,Rajasthan,-,-,10742,323,13857
110,3235,20-06-2020,8:00 AM,Rajasthan,-,-,10997,333,14156
111,3271,21-06-2020,8:00 AM,Rajasthan,-,-,11274,337,14536
112,3307,22-06-2020,8:00 AM,Rajasthan,-,-,11597,349,14930
113,3343,23-06-2020,8:00 AM,Rajasthan,-,-,11910,356,15232
114,3379,24-06-2020,8:00 AM,Rajasthan,-,-,12213,365,15627
115,3415,25-06-2020,8:00 AM,Rajasthan,-,-,12611,375,16009
116,3451,26-06-2020,8:00 AM,Rajasthan,-,-,12840,379,16296
117,3487,27-06-2020,8:00 AM,Rajasthan,-,-,13062,380,16660
118,3523,28-06-2020,8:00 AM,Rajasthan,-,-,13367,391,16944
119,3559,29-06-2020,8:00 AM,Rajasthan,-,-,13611,399,17271
120,3595,30-06-2020,8:00 AM,Rajasthan,-,-,13618,405,17660
121,3631,01-07-2020,8:00 AM,Rajasthan,-,-,14220,413,18014
122,3667,02-07-2020,8:00 AM,Rajasthan,-,-,14574,421,18312
123,3703,03-07-2020,8:00 AM,Rajasthan,-,-,14948,430,18662
124,3739,04-07-2020,8:00 AM,Rajasthan,-,-,15281,440,19052
125,3775,05-07-2020,8:00 AM,Rajasthan,-,-,15640,447,19532
126,3811,06-07-2020,8:00 AM,Rajasthan,-,-,15928,456,20164
127,3847,07-07-2020,8:00 AM,Rajasthan,-,-,16278,461,20688
128,3883,08-07-2020,8:00 AM,Rajasthan,-,-,16575,472,21404
129,3919,09-07-2020,8:00 AM,Rajasthan,-,-,16866,482,22063
130,3955,10-07-2020,8:00 AM,Rajasthan,-,-,17070,491,22563
131,3991,11-07-2020,8:00 AM,Rajasthan,-,-,17620,497,23174
132,4027,12-07-2020,8:00 AM,Rajasthan,-,-,17869,503,23748
